Team1,Result,Winner,Toss,Bat,Team2,Ground,Start Date,Host_Country,Venue_Team 1,Venue_Team 2,Inning_Team1,Inning_Team2,Team1_Toss,Margin,Team2_Toss,pitch,Winner_Inning,pitchn
South Africa,won,South Africa,lost,first,India,Nagpur,19-Mar-00,India,Away,Home,first,2nd,lost,10 runs,won,flat/dead\dry,1stinningwinner,flat/dead
India,lost,South Africa,won,2nd,South Africa,Nagpur,19-Mar-00,India,Home,Away,2nd,first,won,10 runs,lost,flat/dead\dry,1stinningwinner,flat/dead
South Africa,won,South Africa,lost,2nd,India,Sharjah,22-Mar-00,U.A.E,Neutral,Neutral,2nd,first,lost,10 wickets,won,flat/dead\dry,2ndinningwinner,flat/dead/dry
India,lost,South Africa,won,first,South Africa,Sharjah,22-Mar-00,U.A.E,Neutral,Neutral,first,2nd,won,10 wickets,lost,flat/dead\dry,2ndinningwinner,flat/dead/dry
India,won,India,lost,2nd,Pakistan,Sharjah,23-Mar-00,U.A.E,Neutral,Neutral,2nd,first,lost,5 wickets,won,flat/dead\dry,2ndinningwinner,flat/dead/dry
South Africa,won,South Africa,lost,2nd,Pakistan,Sharjah,24-Mar-00,U.A.E,Neutral,Neutral,2nd,first,lost,3 wickets,won,flat/dead\dry,2ndinningwinner,flat/dead/dry
India,lost,Pakistan,lost,2nd,Pakistan,Sharjah,26-Mar-00,U.A.E,Neutral,Neutral,2nd,first,lost,98 runs,won,flat/dead\dry,1stinningwinner,flat/dead/dry
South Africa,won,South Africa,lost,2nd,India,Sharjah,27-Mar-00,U.A.E,Neutral,Neutral,2nd,first,lost,6 wickets,won,flat/dead\dry,2ndinningwinner,flat/dead/dry
India,lost,South Africa,won,first,South Africa,Sharjah,27-Mar-00,U.A.E,Neutral,Neutral,first,2nd,won,6 wickets,lost,flat/dead\dry,2ndinningwinner,flat/dead/dry
South Africa,lost,Pakistan,lost,2nd,Pakistan,Sharjah,28-Mar-00,U.A.E,Neutral,Neutral,2nd,first,lost,67 runs,won,flat/dead\dry,1stinningwinner,flat/dead/dry
South Africa,lost,Pakistan,lost,2nd,Pakistan,Sharjah,31-Mar-00,U.A.E,Neutral,Neutral,2nd,first,lost,16 runs,won,flat/dead\dry,1stinningwinner,flat/dead/dry
West Indies,won,West Indies,lost,first,Zimbabwe,Kingston,1-Apr-00,West Indies,Home,Away,first,2nd,lost,87 runs,won,slow/low/dusty,1stinningwinner,slow/dusty
Zimbabwe,lost,West Indies,won,2nd,West Indies,Kingston,1-Apr-00,West Indies,Away,Home,2nd,first,won,87 runs,lost,slow/low/dusty,1stinningwinner,slow/dusty
West Indies,won,West Indies,won,first,Zimbabwe,Kingston,2-Apr-00,West Indies,Home,Away,first,2nd,won,41 runs,lost,slow/low/dusty,1stinningwinner,slow/dusty
Zimbabwe,lost,West Indies,lost,2nd,West Indies,Kingston,2-Apr-00,West Indies,Away,Home,2nd,first,lost,41 runs,won,slow/low/dusty,1stinningwinner,slow/dusty
Zimbabwe,lost,Pakistan,won,first,Pakistan,St Johns,5-Apr-00,Zimbabwe,Home,Away,first,2nd,won,5 wickets,lost,slow/low,2ndinningwinner,slow/dusty
South Africa,won,South Africa,won,2nd,Australia,Durban,12-Apr-00,South Africa,Home,Away,2nd,first,won,6 wickets,lost,green/fast/ bouncy,2ndinningwinner,fast/high bounce
Australia,lost,South Africa,lost,first,South Africa,Durban,12-Apr-00,South Africa,Away,Home,first,2nd,lost,6 wickets,won,green/fast/ bouncy,2ndinningwinner,fast/high bounce
West Indies,won,West Indies,won,first,Pakistan,Kingstown,12-Apr-00,West Indies,Home,Away,first,2nd,won,96 runs,lost,slow/low/dusty,1stinningwinner,slow/dusty
Australia,won,Australia,won,2nd,South Africa,Cape Town,14-Apr-00,South Africa,Away,Home,2nd,first,won,5 wickets,lost,green/fast/low bounce,2ndinningwinner,fast/high bounce
South Africa,lost,Australia,lost,first,Australia,Cape Town,14-Apr-00,South Africa,Home,Away,first,2nd,lost,5 wickets,won,green/fast/low bounce,2ndinningwinner,fast/high bounce
Zimbabwe,lost,Pakistan,won,first,Pakistan,St Georges,15-Apr-00,West Indies,Away,Home,first,2nd,won,6 wickets,lost,slow/low/dusty,2ndinningwinner,slow/dusty
South Africa,won,South Africa,won,2nd,Australia,Johannesburg,16-Apr-00,South Africa,Home,Away,2nd,first,won,4 wickets,lost,green/fast/ bouncy,2ndinningwinner,fast/high bounce
Australia,lost,South Africa,lost,first,South Africa,Johannesburg,16-Apr-00,South Africa,Away,Home,first,2nd,lost,4 wickets,won,green/fast/ bouncy,2ndinningwinner,fast/high bounce
West Indies,won,West Indies,won,first,Pakistan,St Georges,16-Apr-00,West Indies,Home,Away,first,2nd,won,17 runs,lost,slow/low/dusty,1stinningwinner,slow/dusty
West Indies,lost,Pakistan,lost,2nd,Pakistan,Bridgetown,19-Apr-00,West Indies,Home,Away,2nd,first,lost,17 runs,won,slow/low/dusty,1stinningwinner,slow/dusty
West Indies,won,West Indies,won,first,Pakistan,Port of Spain,22-Apr-00,West Indies,Home,Away,first,2nd,won,60 runs,lost,slow/low/dusty,1stinningwinner,slow/dusty
West Indies,lost,Pakistan,won,first,Pakistan,Port of Spain,23-Apr-00,West Indies,Home,Away,first,2nd,won,4 wickets,lost,slow/low/dusty,2ndinningwinner,slow/dusty
Sri Lanka,won,Sri Lanka,won,2nd,Bangladesh,Dhaka,29-May-00,Bangladesh,Away,Home,2nd,first,won,9 wickets,lost,slow/low/dusty,2ndinningwinner,slow/dusty
Bangladesh,lost,Sri Lanka,lost,first,Sri Lanka,Dhaka,29-May-00,Bangladesh,Home,Away,first,2nd,lost,9 wickets,won,slow/low/dusty,2ndinningwinner,slow/dusty
India,won,India,lost,2nd,Bangladesh,Dhaka,30-May-00,Bangladesh,Away,Home,2nd,first,lost,8 wickets,won,slow/low/dusty,2ndinningwinner,slow/dusty
Bangladesh,lost,India,won,first,India,Dhaka,30-May-00,Bangladesh,Home,Away,first,2nd,won,8 wickets,lost,slow/low/dusty,2ndinningwinner,slow/dusty
Sri Lanka,won,Sri Lanka,won,first,India,Dhaka,1-Jun-00,Bangladesh,Neutral,Neutral,first,2nd,won,71 runs,lost,slow/low/dusty,1stinningwinner,slow/dusty
India,lost,Sri Lanka,lost,2nd,Sri Lanka,Dhaka,1-Jun-00,Bangladesh,Neutral,Neutral,2nd,first,lost,71 runs,won,slow/low/dusty,1stinningwinner,slow/dusty
Bangladesh,lost,Pakistan,lost,2nd,Pakistan,Dhaka,2-Jun-00,Bangladesh,Home,Away,2nd,first,lost,233 runs,won,slow/low/dusty,1stinningwinner,slow/dusty
India,lost,Pakistan,lost,2nd,Pakistan,Dhaka,3-Jun-00,Bangladesh,Neutral,Neutral,2nd,first,lost,44 runs,won,slow/low/dusty,1stinningwinner,slow/dusty
