Team1,Result,Winner,Toss,Bat,Team2,Ground,Start Date,Host_Country,Venue_Team 1,Venue_Team 2,Inning_Team1,Inning_Team2,Team1_Toss,Margin,Team2_Toss,pitch,Winner_Inning,pitchn
Zimbabwe,lost,New Zealand,lost,first,New Zealand,Harare,27-Sep-00,Zimbabwe,Home,Away,first,2nd,lost,7 wickets,won,slow/low,2ndinningwinner,slow/dusty
Zimbabwe,won,Zimbabwe,lost,first,New Zealand,Bulawayo,30-Sep-00,Zimbabwe,Home,Away,first,2nd,lost,21 runs,won,slow/low,1stinningwinner,slow/dusty
New Zealand,lost,Zimbabwe,won,2nd,Zimbabwe,Bulawayo,30-Sep-00,Zimbabwe,Away,Home,2nd,first,won,21 runs,lost,slow/low,1stinningwinner,slow/dusty
Zimbabwe,won,Zimbabwe,lost,2nd,New Zealand,Bulawayo,1-Oct-00,Zimbabwe,Home,Away,2nd,first,lost,6 wickets,won,slow/low,2ndinningwinner,slow/dusty
New Zealand,lost,Zimbabwe,won,first,Zimbabwe,Bulawayo,1-Oct-00,Zimbabwe,Away,Home,first,2nd,won,6 wickets,lost,slow/low,2ndinningwinner,slow/dusty
Sri Lanka,won,Sri Lanka,lost,first,West Indies,Nairobi (Gym),4-Oct-00,West Indies,Away,Home,first,2nd,lost,108 runs,won,slow/low/dusty,1stinningwinner,slow/dusty
West Indies,lost,Sri Lanka,won,2nd,Sri Lanka,Nairobi (Gym),4-Oct-00,West Indies,Home,Away,2nd,first,won,108 runs,lost,slow/low/dusty,1stinningwinner,slow/dusty
England,won,England,lost,2nd,Bangladesh,Nairobi (Gym),5-Oct-00,West Indies,Neutral,Neutral,2nd,first,lost,8 wickets,won,slow/low/dusty,2ndinningwinner,slow/dusty
Bangladesh,lost,England,won,first,England,Nairobi (Gym),5-Oct-00,West Indies,Neutral,Neutral,first,2nd,won,8 wickets,lost,slow/low/dusty,2ndinningwinner,slow/dusty
India,won,India,lost,first,Australia,Nairobi (Gym),7-Oct-00,West Indies,Neutral,Neutral,first,2nd,lost,20 runs,won,slow/low/dusty,1stinningwinner,slow/dusty
Australia,lost,India,won,2nd,India,Nairobi (Gym),7-Oct-00,West Indies,Neutral,Neutral,2nd,first,won,20 runs,lost,slow/low/dusty,1stinningwinner,slow/dusty
Sri Lanka,lost,Pakistan,won,first,Pakistan,Nairobi (Gym),8-Oct-00,West Indies,Neutral,Neutral,first,2nd,won,9 wickets,lost,slow/low/dusty,2ndinningwinner,slow/dusty
New Zealand,won,New Zealand,lost,first,Zimbabwe,Nairobi (Gym),9-Oct-00,West Indies,Neutral,Neutral,first,2nd,lost,64 runs,won,slow/low/dusty,1stinningwinner,slow/dusty
Zimbabwe,lost,New Zealand,won,2nd,New Zealand,Nairobi (Gym),9-Oct-00,West Indies,Neutral,Neutral,2nd,first,won,64 runs,lost,slow/low/dusty,1stinningwinner,slow/dusty
South Africa,won,South Africa,lost,2nd,England,Nairobi (Gym),10-Oct-00,West Indies,Neutral,Neutral,2nd,first,lost,8 wickets,won,slow/low/dusty,2ndinningwinner,slow/dusty
England,lost,South Africa,won,first,South Africa,Nairobi (Gym),10-Oct-00,West Indies,Neutral,Neutral,first,2nd,won,8 wickets,lost,slow/low/dusty,2ndinningwinner,slow/dusty
New Zealand,won,New Zealand,lost,2nd,Pakistan,Nairobi (Gym),11-Oct-00,West Indies,Neutral,Neutral,2nd,first,lost,4 wickets,won,slow/low/dusty,2ndinningwinner,slow/dusty
India,won,India,won,first,South Africa,Nairobi (Gym),13-Oct-00,West Indies,Neutral,Neutral,first,2nd,won,95 runs,lost,slow/low/dusty,1stinningwinner,slow/dusty
South Africa,lost,India,lost,2nd,India,Nairobi (Gym),13-Oct-00,West Indies,Neutral,Neutral,2nd,first,lost,95 runs,won,slow/low/dusty,1stinningwinner,slow/dusty
New Zealand,won,New Zealand,won,2nd,India,Nairobi (Gym),15-Oct-00,West Indies,Neutral,Neutral,2nd,first,won,4 wickets,lost,slow/low/dusty,2ndinningwinner,slow/dusty
India,lost,New Zealand,lost,first,New Zealand,Nairobi (Gym),15-Oct-00,West Indies,Neutral,Neutral,first,2nd,lost,4 wickets,won,slow/low/dusty,2ndinningwinner,slow/dusty
Sri Lanka,won,Sri Lanka,lost,2nd,India,Sharjah,20-Oct-00,U.A.E,Neutral,Neutral,2nd,first,lost,5 wickets,won,flat/dead\dry,2ndinningwinner,flat/dead/dry
India,lost,Sri Lanka,won,first,Sri Lanka,Sharjah,20-Oct-00,U.A.E,Neutral,Neutral,first,2nd,won,5 wickets,lost,flat/dead\dry,2ndinningwinner,flat/dead/dry
Sri Lanka,won,Sri Lanka,won,2nd,Zimbabwe,Sharjah,21-Oct-00,U.A.E,Neutral,Neutral,2nd,first,won,7 wickets,lost,flat/dead\dry,2ndinningwinner,flat/dead/dry
Zimbabwe,lost,Sri Lanka,lost,first,Sri Lanka,Sharjah,21-Oct-00,U.A.E,Neutral,Neutral,first,2nd,lost,7 wickets,won,flat/dead\dry,2ndinningwinner,flat/dead/dry
South Africa,won,South Africa,lost,2nd,New Zealand,Benoni,22-Oct-00,South Africa,Home,Away,2nd,first,lost,6 wickets,won,fast/green/low bounce,2ndinningwinner,fast/high bounce
New Zealand,lost,South Africa,won,first,South Africa,Benoni,22-Oct-00,South Africa,Away,Home,first,2nd,won,6 wickets,lost,fast/green/low bounce,2ndinningwinner,fast/high bounce
India,won,India,lost,first,Zimbabwe,Sharjah,22-Oct-00,U.A.E,Neutral,Neutral,first,2nd,lost,13 runs,won,flat/dead\dry,1stinningwinner,flat/dead/dry
Zimbabwe,lost,India,won,2nd,India,Sharjah,22-Oct-00,U.A.E,Neutral,Neutral,2nd,first,won,13 runs,lost,flat/dead\dry,1stinningwinner,flat/dead/dry
England,won,England,lost,2nd,Pakistan,Karachi,24-Oct-00,Pakistan,Away,Home,2nd,first,lost,5 wickets,won,flat/dead,2ndinningwinner, flat/dead
Sri Lanka,won,Sri Lanka,lost,first,Zimbabwe,Sharjah,25-Oct-00,U.A.E,Neutral,Neutral,first,2nd,lost,123 runs,won,flat/dead\dry,1stinningwinner,flat/dead/dry
Zimbabwe,lost,Sri Lanka,won,2nd,Sri Lanka,Sharjah,25-Oct-00,U.A.E,Neutral,Neutral,2nd,first,won,123 runs,lost,flat/dead\dry,1stinningwinner,flat/dead/dry
South Africa,won,South Africa,lost,first,New Zealand,Centurion,25-Oct-00,South Africa,Home,Away,first,2nd,lost,115 runs,won,fast/green/low bounce,1stinningwinner,fast/high bounce
New Zealand,lost,South Africa,won,2nd,South Africa,Centurion,25-Oct-00,South Africa,Away,Home,2nd,first,won,115 runs,lost,fast/green/low bounce,1stinningwinner,fast/high bounce
India,won,India,won,2nd,Zimbabwe,Sharjah,26-Oct-00,U.A.E,Neutral,Neutral,2nd,first,won,3 wickets,lost,flat/dead\dry,2ndinningwinner,flat/dead/dry
Zimbabwe,lost,India,lost,first,India,Sharjah,26-Oct-00,U.A.E,Neutral,Neutral,first,2nd,lost,3 wickets,won,flat/dead\dry,2ndinningwinner,flat/dead/dry
England,lost,Pakistan,lost,first,Pakistan,Lahore,27-Oct-00,Pakistan,Away,Home,first,2nd,lost,8 wickets,won,flat/dead,2ndinningwinner, flat/dead
Sri Lanka,won,Sri Lanka,lost,first,India,Sharjah,27-Oct-00,U.A.E,Neutral,Neutral,first,2nd,lost,68 runs,won,flat/dead\dry,1stinningwinner,flat/dead/dry
India,lost,Sri Lanka,won,2nd,Sri Lanka,Sharjah,27-Oct-00,U.A.E,Neutral,Neutral,2nd,first,won,68 runs,lost,flat/dead\dry,1stinningwinner,flat/dead/dry
South Africa,won,South Africa,won,2nd,New Zealand,Kimberley,28-Oct-00,South Africa,Home,Away,2nd,first,won,5 wickets,lost,fast/green/low bounce,2ndinningwinner,fast/high bounce
New Zealand,lost,South Africa,lost,first,South Africa,Kimberley,28-Oct-00,South Africa,Away,Home,first,2nd,lost,5 wickets,won,fast/green/low bounce,2ndinningwinner,fast/high bounce
Sri Lanka,won,Sri Lanka,won,first,India,Sharjah,29-Oct-00,U.A.E,Neutral,Neutral,first,2nd,won,245 runs,lost,flat/dead\dry,1stinningwinner,flat/dead/dry
India,lost,Sri Lanka,lost,2nd,Sri Lanka,Sharjah,29-Oct-00,U.A.E,Neutral,Neutral,2nd,first,lost,245 runs,won,flat/dead\dry,1stinningwinner,flat/dead/dry
England,lost,Pakistan,lost,first,Pakistan,Rawalpindi,30-Oct-00,Pakistan,Away,Home,first,2nd,lost,6 wickets,won,flat/dead,2ndinningwinner, flat/dead
South Africa,won,South Africa,won,2nd,New Zealand,Durban,1-Nov-00,South Africa,Home,Away,2nd,first,won,6 wickets,lost,green/fast/ bouncy,2ndinningwinner,fast/high bounce
New Zealand,lost,South Africa,lost,first,South Africa,Durban,1-Nov-00,South Africa,Away,Home,first,2nd,lost,6 wickets,won,green/fast/ bouncy,2ndinningwinner,fast/high bounce
South Africa,won,South Africa,won,2nd,New Zealand,Cape Town,4-Nov-00,South Africa,Home,Away,2nd,first,won,3 wickets,lost,green/fast/low bounce,2ndinningwinner,fast/high bounce
New Zealand,lost,South Africa,lost,first,South Africa,Cape Town,4-Nov-00,South Africa,Away,Home,first,2nd,lost,3 wickets,won,green/fast/low bounce,2ndinningwinner,fast/high bounce
India,won,India,lost,2nd,Zimbabwe,Cuttack,2-Dec-00,India,Home,Away,2nd,first,lost,3 wickets,won,slow/dead/flat,2ndinningwinner,flat/dead
Zimbabwe,lost,India,won,first,India,Cuttack,2-Dec-00,India,Away,Home,first,2nd,won,3 wickets,lost,slow/dead/flat,2ndinningwinner,flat/dead
India,won,India,won,first,Zimbabwe,Ahmedabad,5-Dec-00,India,Home,Away,first,2nd,won,61 runs,lost,slow/dead/flat,1stinningwinner,flat/dead
Zimbabwe,lost,India,lost,2nd,India,Ahmedabad,5-Dec-00,India,Away,Home,2nd,first,lost,61 runs,won,slow/dead/flat,1stinningwinner,flat/dead
Zimbabwe,won,Zimbabwe,lost,2nd,India,Jodhpur,8-Dec-00,India,Away,Home,2nd,first,lost,1 wickets,won,slow/dead/flat,2ndinningwinner,flat/dead
India,lost,Zimbabwe,won,first,Zimbabwe,Jodhpur,8-Dec-00,India,Home,Away,first,2nd,won,1 wickets,lost,slow/dead/flat,2ndinningwinner,flat/dead
India,won,India,lost,2nd,Zimbabwe,Kanpur,11-Dec-00,India,Home,Away,2nd,first,lost,9 wickets,won,slow/dead/flat,2ndinningwinner,flat/dead
Zimbabwe,lost,India,won,first,India,Kanpur,11-Dec-00,India,Away,Home,first,2nd,won,9 wickets,lost,slow/dead/flat,2ndinningwinner,flat/dead
India,won,India,lost,first,Zimbabwe,Rajkot,14-Dec-00,India,Home,Away,first,2nd,lost,39 runs,won,slow/dead/flat,1stinningwinner,flat/dead
Zimbabwe,lost,India,won,2nd,India,Rajkot,14-Dec-00,India,Away,Home,2nd,first,won,39 runs,lost,slow/dead/flat,1stinningwinner,flat/dead
South Africa,won,South Africa,lost,2nd,Sri Lanka,Port Elizabeth,15-Dec-00,South Africa,Home,Away,2nd,first,lost,4 wickets,won,fast/ low bounce,2ndinningwinner,fast/high bounce
Sri Lanka,lost,South Africa,won,first,South Africa,Port Elizabeth,15-Dec-00,South Africa,Away,Home,first,2nd,won,4 wickets,lost,fast/ low bounce,2ndinningwinner,fast/high bounce
South Africa,won,South Africa,won,first,Sri Lanka,East London,17-Dec-00,South Africa,Home,Away,first,2nd,won,95 runs,lost,green,1stinningwinner,fast/high bounce
Sri Lanka,lost,South Africa,lost,2nd,South Africa,East London,17-Dec-00,South Africa,Away,Home,2nd,first,lost,95 runs,won,green,1stinningwinner,fast/high bounce
Zimbabwe,won,Zimbabwe,lost,first,New Zealand,Taupo,2-Jan-01,New Zealand,Away,Home,first,2nd,lost,70 runs,won,green/bouncy,1stinningwinner,fast/green/swing/bouncy
New Zealand,lost,Zimbabwe,won,2nd,Zimbabwe,Taupo,2-Jan-01,New Zealand,Home,Away,2nd,first,won,70 runs,lost,green/bouncy,1stinningwinner,fast/green/swing/bouncy
New Zealand,won,New Zealand,lost,2nd,Zimbabwe,Wellington,4-Jan-01,New Zealand,Home,Away,2nd,first,lost,8 wickets,won,fast/green/bouncy,2ndinningwinner,fast/green/swing/bouncy
Zimbabwe,lost,New Zealand,won,first,New Zealand,Wellington,4-Jan-01,New Zealand,Away,Home,first,2nd,won,8 wickets,lost,fast/green/bouncy,2ndinningwinner,fast/green/swing/bouncy
Zimbabwe,won,Zimbabwe,won,2nd,New Zealand,Auckland,7-Jan-01,New Zealand,Away,Home,2nd,first,won,1 wickets,lost,green/fast/bouncy,2ndinningwinner,fast/green/swing/bouncy
New Zealand,lost,Zimbabwe,lost,first,Zimbabwe,Auckland,7-Jan-01,New Zealand,Home,Away,first,2nd,lost,1 wickets,won,green/fast/bouncy,2ndinningwinner,fast/green/swing/bouncy
South Africa,won,South Africa,lost,2nd,Sri Lanka,Paarl,9-Jan-01,South Africa,Home,Away,2nd,first,lost,8 wickets,won,fast/ low bounce,2ndinningwinner,fast/high bounce
Sri Lanka,lost,South Africa,won,first,South Africa,Paarl,9-Jan-01,South Africa,Away,Home,first,2nd,won,8 wickets,lost,fast/ low bounce,2ndinningwinner,fast/high bounce
Australia,won,Australia,won,first,West Indies,Melbourne,11-Jan-01,Australia,Home,Away,first,2nd,won,74 runs,lost,fast/ bouncy,1stinningwinner,fast/ high bounce
West Indies,lost,Australia,lost,2nd,Australia,Melbourne,11-Jan-01,Australia,Away,Home,2nd,first,lost,74 runs,won,fast/ bouncy,1stinningwinner,fast/ high bounce
South Africa,won,South Africa,won,first,Sri Lanka,Cape Town,11-Jan-01,South Africa,Home,Away,first,2nd,won,99 runs,lost,green/fast/low bounce,1stinningwinner,fast/high bounce
Sri Lanka,lost,South Africa,lost,2nd,South Africa,Cape Town,11-Jan-01,South Africa,Away,Home,2nd,first,lost,99 runs,won,green/fast/low bounce,1stinningwinner,fast/high bounce
West Indies,won,West Indies,lost,2nd,Zimbabwe,Brisbane,13-Jan-01,Australia,Neutral,Neutral,2nd,first,lost,1 wickets,won,fast/ bouncy,2ndinningwinner,fast/ high bounce
Zimbabwe,lost,West Indies,won,first,West Indies,Brisbane,13-Jan-01,Australia,Neutral,Neutral,first,2nd,won,1 wickets,lost,fast/ bouncy,2ndinningwinner,fast/ high bounce
Australia,won,Australia,lost,2nd,West Indies,Brisbane,14-Jan-01,Australia,Home,Away,2nd,first,lost,9 wickets,won,fast/ bouncy,2ndinningwinner,fast/ high bounce
West Indies,lost,Australia,won,first,Australia,Brisbane,14-Jan-01,Australia,Away,Home,first,2nd,won,9 wickets,lost,fast/ bouncy,2ndinningwinner,fast/ high bounce
South Africa,won,South Africa,won,2nd,Sri Lanka,Bloemfontein,14-Jan-01,South Africa,Home,Away,2nd,first,won,5 wickets,lost,fast/low bounce,2ndinningwinner,fast/high bounce
Sri Lanka,lost,South Africa,lost,first,South Africa,Bloemfontein,14-Jan-01,South Africa,Away,Home,first,2nd,lost,5 wickets,won,fast/low bounce,2ndinningwinner,fast/high bounce
Australia,won,Australia,lost,first,West Indies,Sydney,17-Jan-01,Australia,Home,Away,first,2nd,lost,28 runs,won,fast/ dusty/bouncy/dry,1stinningwinner,fast/ high bounce
West Indies,lost,Australia,won,2nd,Australia,Sydney,17-Jan-01,Australia,Away,Home,2nd,first,won,28 runs,lost,fast/ dusty/bouncy/dry,1stinningwinner,fast/ high bounce
Sri Lanka,won,Sri Lanka,lost,first,South Africa,Johannesburg,17-Jan-01,South Africa,Away,Home,first,2nd,lost,4 runs,won,green/fast/ bouncy,1stinningwinner,fast/high bounce
South Africa,lost,Sri Lanka,won,2nd,Sri Lanka,Johannesburg,17-Jan-01,South Africa,Home,Away,2nd,first,won,4 runs,lost,green/fast/ bouncy,1stinningwinner,fast/high bounce
Australia,won,Australia,lost,2nd,Zimbabwe,Melbourne,21-Jan-01,Australia,Home,Away,2nd,first,lost,8 wickets,won,fast/ bouncy,2ndinningwinner,fast/ high bounce
Zimbabwe,lost,Australia,won,first,Australia,Melbourne,21-Jan-01,Australia,Away,Home,first,2nd,won,8 wickets,lost,fast/ bouncy,2ndinningwinner,fast/ high bounce
Zimbabwe,won,Zimbabwe,lost,first,West Indies,Sydney,23-Jan-01,Australia,Neutral,Neutral,first,2nd,lost,47 runs,won,fast/ dusty/bouncy/dry,1stinningwinner,fast/ high bounce
West Indies,lost,Zimbabwe,won,2nd,Zimbabwe,Sydney,23-Jan-01,Australia,Neutral,Neutral,2nd,first,won,47 runs,lost,fast/ dusty/bouncy/dry,1stinningwinner,fast/ high bounce
West Indies,won,West Indies,won,first,Zimbabwe,Adelaide,25-Jan-01,Australia,Neutral,Neutral,first,2nd,won,77 runs,lost, fast/dusty/dry,1stinningwinner,fast/ high bounce
Zimbabwe,lost,West Indies,lost,2nd,West Indies,Adelaide,25-Jan-01,Australia,Neutral,Neutral,2nd,first,lost,77 runs,won, fast/dusty/dry,1stinningwinner,fast/ high bounce
Australia,won,Australia,lost,2nd,West Indies,Adelaide,26-Jan-01,Australia,Home,Away,2nd,first,lost,10 wickets,won, fast/dusty/dry,2ndinningwinner,fast/ high bounce
West Indies,lost,Australia,won,first,Australia,Adelaide,26-Jan-01,Australia,Away,Home,first,2nd,won,10 wickets,lost, fast/dusty/dry,2ndinningwinner,fast/ high bounce
Australia,won,Australia,won,first,Zimbabwe,Sydney,28-Jan-01,Australia,Home,Away,first,2nd,won,86 runs,lost,fast/ dusty/bouncy/dry,1stinningwinner,fast/ high bounce
Zimbabwe,lost,Australia,lost,2nd,Australia,Sydney,28-Jan-01,Australia,Away,Home,2nd,first,lost,86 runs,won,fast/ dusty/bouncy/dry,1stinningwinner,fast/ high bounce
Australia,won,Australia,won,2nd,Zimbabwe,Hobart,30-Jan-01,Australia,Home,Away,2nd,first,won,6 wickets,lost, fast/bouncy,2ndinningwinner,fast/ high bounce
Zimbabwe,lost,Australia,lost,first,Australia,Hobart,30-Jan-01,Australia,Away,Home,first,2nd,lost,6 wickets,won, fast/bouncy,2ndinningwinner,fast/ high bounce
Sri Lanka,won,Sri Lanka,won,first,New Zealand,Napier,31-Jan-01,New Zealand,Away,Home,first,2nd,won,61 runs,lost,fast/green/bouncy,1stinningwinner,fast/green/swing/bouncy
New Zealand,lost,Sri Lanka,lost,2nd,Sri Lanka,Napier,31-Jan-01,New Zealand,Home,Away,2nd,first,lost,61 runs,won,fast/green/bouncy,1stinningwinner,fast/green/swing/bouncy
West Indies,won,West Indies,won,first,Zimbabwe,Perth,2-Feb-01,Australia,Neutral,Neutral,first,2nd,won,44 runs,lost,fast/bouncy,1stinningwinner,fast/ high bounce
Zimbabwe,lost,West Indies,lost,2nd,West Indies,Perth,2-Feb-01,Australia,Neutral,Neutral,2nd,first,lost,44 runs,won,fast/bouncy,1stinningwinner,fast/ high bounce
Sri Lanka,won,Sri Lanka,lost,2nd,New Zealand,Wellington,3-Feb-01,New Zealand,Away,Home,2nd,first,lost,3 wickets,won,fast/green/bouncy,2ndinningwinner,fast/green/swing/bouncy
New Zealand,lost,Sri Lanka,won,first,Sri Lanka,Wellington,3-Feb-01,New Zealand,Home,Away,first,2nd,won,3 wickets,lost,fast/green/bouncy,2ndinningwinner,fast/green/swing/bouncy
Australia,won,Australia,won,first,Zimbabwe,Perth,4-Feb-01,Australia,Home,Away,first,2nd,won,1 runs,lost,fast/bouncy,1stinningwinner,fast/ high bounce
Zimbabwe,lost,Australia,lost,2nd,Australia,Perth,4-Feb-01,Australia,Away,Home,2nd,first,lost,1 runs,won,fast/bouncy,1stinningwinner,fast/ high bounce
Sri Lanka,won,Sri Lanka,won,2nd,New Zealand,Auckland,6-Feb-01,New Zealand,Away,Home,2nd,first,won,9 wickets,lost,green/fast/bouncy,2ndinningwinner,fast/green/swing/bouncy
New Zealand,lost,Sri Lanka,lost,first,Sri Lanka,Auckland,6-Feb-01,New Zealand,Home,Away,first,2nd,lost,9 wickets,won,green/fast/bouncy,2ndinningwinner,fast/green/swing/bouncy
Australia,won,Australia,lost,first,West Indies,Sydney,7-Feb-01,Australia,Home,Away,first,2nd,lost,134 runs,won,fast/ dusty/bouncy/dry,1stinningwinner,fast/ high bounce
West Indies,lost,Australia,won,2nd,Australia,Sydney,7-Feb-01,Australia,Away,Home,2nd,first,won,134 runs,lost,fast/ dusty/bouncy/dry,1stinningwinner,fast/ high bounce
Sri Lanka,won,Sri Lanka,won,2nd,New Zealand,Hamilton,8-Feb-01,New Zealand,Away,Home,2nd,first,won,3 runs,lost,green/fast/bouncy,1stinningwinner,fast/green/swing/bouncy
New Zealand,lost,Sri Lanka,lost,first,Sri Lanka,Hamilton,8-Feb-01,New Zealand,Home,Away,first,2nd,lost,3 runs,won,green/fast/bouncy,1stinningwinner,fast/green/swing/bouncy
Australia,won,Australia,lost,first,West Indies,Melbourne,9-Feb-01,Australia,Home,Away,first,2nd,lost,39 runs,won,fast/ bouncy,1stinningwinner,fast/ high bounce
West Indies,lost,Australia,won,2nd,Australia,Melbourne,9-Feb-01,Australia,Away,Home,2nd,first,won,39 runs,lost,fast/ bouncy,1stinningwinner,fast/ high bounce
New Zealand,won,New Zealand,lost,first,Sri Lanka,Christchurch,11-Feb-01,New Zealand,Home,Away,first,2nd,lost,13 runs,won,fast/green/bouncy,1stinningwinner,fast/green/swing/bouncy
Sri Lanka,lost,New Zealand,won,2nd,New Zealand,Christchurch,11-Feb-01,New Zealand,Away,Home,2nd,first,won,13 runs,lost,fast/green/bouncy,1stinningwinner,fast/green/swing/bouncy
New Zealand,lost,Pakistan,lost,first,Pakistan,Auckland,17-Feb-01,New Zealand,Home,Away,first,2nd,lost,6 wickets,won,green/fast/bouncy,2ndinningwinner,fast/green/swing/bouncy
New Zealand,won,New Zealand,won,2nd,Pakistan,Napier,20-Feb-01,New Zealand,Home,Away,2nd,first,won,6 wickets,lost,fast/green/bouncy,2ndinningwinner,fast/green/swing/bouncy
New Zealand,lost,Pakistan,won,2nd,Pakistan,Wellington,22-Feb-01,New Zealand,Home,Away,2nd,first,won,28 runs,lost,fast/green/bouncy,1stinningwinner,fast/green/swing/bouncy
New Zealand,won,New Zealand,lost,first,Pakistan,Christchurch,25-Feb-01,New Zealand,Home,Away,first,2nd,lost,138 runs,won,fast/green/bouncy,1stinningwinner,fast/green/swing/bouncy
New Zealand,won,New Zealand,lost,2nd,Pakistan,Dunedin,28-Feb-01,New Zealand,Home,Away,2nd,first,lost,4 wickets,won,green/fast/bouncy,2ndinningwinner,fast/green/swing/bouncy
Sri Lanka,won,Sri Lanka,lost,2nd,England,Dambulla,23-Mar-01,Sri Lanka,Home,Away,2nd,first,lost,5 wickets,won,dry/dusty,2ndinningwinner,dry/dusty
England,lost,Sri Lanka,won,first,Sri Lanka,Dambulla,23-Mar-01,Sri Lanka,Away,Home,first,2nd,won,5 wickets,lost,dry/dusty,2ndinningwinner,dry/dusty
Sri Lanka,won,Sri Lanka,won,first,England,Colombo (RPS),25-Mar-01,Sri Lanka,Home,Away,first,2nd,won,66 runs,lost,dry/dusty,1stinningwinner,dry/dusty
England,lost,Sri Lanka,lost,2nd,Sri Lanka,Colombo (RPS),25-Mar-01,Sri Lanka,Away,Home,2nd,first,lost,66 runs,won,dry/dusty,1stinningwinner,dry/dusty
India,won,India,won,first,Australia,Bengaluru,25-Mar-01,India,Home,Away,first,2nd,won,60 runs,lost,slow/dead/flat,1stinningwinner,flat/dead
Australia,lost,India,lost,2nd,India,Bengaluru,25-Mar-01,India,Home,Away,2nd,first,lost,60 runs,won,slow/dead/flat,1stinningwinner,flat/dead
Sri Lanka,won,Sri Lanka,won,2nd,England,Colombo (SSC),27-Mar-01,Sri Lanka,Home,Away,2nd,first,won,10 wickets,lost,slow/low/dusty,2ndinningwinner,dry/dusty
England,lost,Sri Lanka,lost,first,Sri Lanka,Colombo (SSC),27-Mar-01,Sri Lanka,Away,Home,first,2nd,lost,10 wickets,won,slow/low/dusty,2ndinningwinner,dry/dusty
Australia,won,Australia,lost,2nd,India,Pune,28-Mar-01,India,Away,Home,2nd,first,lost,8 wickets,won,slow/dead/flat,2ndinningwinner,flat/dead
India,lost,Australia,won,first,Australia,Pune,28-Mar-01,India,Home,Away,first,2nd,won,8 wickets,lost,slow/dead/flat,2ndinningwinner,flat/dead
India,won,India,lost,first,Australia,Indore,31-Mar-01,India,Home,Away,first,2nd,lost,118 runs,won,slow/dead/flat,1stinningwinner,flat/dead
Australia,lost,India,won,2nd,India,Indore,31-Mar-01,India,Away,Home,2nd,first,won,118 runs,lost,slow/dead/flat,1stinningwinner,flat/dead
Australia,won,Australia,won,first,India,Visakhapatnam,3-Apr-01,India,Away,Home,first,2nd,won,93 runs,lost,slow/dead/flat,1stinningwinner,flat/dead
India,lost,Australia,lost,2nd,Australia,Visakhapatnam,3-Apr-01,India,Home,Away,2nd,first,lost,93 runs,won,slow/dead/flat,1stinningwinner,flat/dead
