Team1,Team2,Ground,Toss,Bat,Winner
Afghanistan, Zimbabwe,Bulawayo,loss,2nd,Afghanistan
Sri Lanka, West Indies,Pallekele,loss,first,Sri Lanka
West Indies, Sri Lanka,Colombo (RPS),win,first,West Indies
Bangladesh, Zimbabwe,Dhaka,win,2nd,Bangladesh
Zimbabwe, Bangladesh,Dhaka,loss,2nd,Zimbabwe
Oman, Hong Kong,Abu Dhabi,win,2nd,Oman
U.A.E., Oman,Abu Dhabi,win,2nd,U.A.E.
Oman, Hong Kong,Abu Dhabi,loss,first,Oman
Hong Kong, Oman,Abu Dhabi,win,2nd,Hong Kong
England, Pakistan,Dubai (DSC),win,first,England
England, Pakistan,Dubai (DSC),win,first,England
Hong Kong, Afghanistan,Abu Dhabi,loss,2nd,Hong Kong
Afghanistan, Oman,Abu Dhabi,loss,first,Afghanistan
Afghanistan, Oman,Abu Dhabi,loss,first,Afghanistan
New Zealand, Sri Lanka,Mount Maunganui,loss,first,New Zealand
Afghanistan, Zimbabwe,Sharjah,win,first,Afghanistan
New Zealand, Sri Lanka,Auckland,win,2nd,New Zealand
Afghanistan, Zimbabwe,Sharjah,loss,first,Afghanistan
Pakistan, New Zealand,Auckland,loss,first,Pakistan
Bangladesh, Zimbabwe,Khulna,loss,2nd,Bangladesh
New Zealand, Pakistan,Hamilton,loss,2nd,New Zealand
Bangladesh, Zimbabwe,Khulna,win,first,Bangladesh
Zimbabwe, Bangladesh,Khulna,win,first,Zimbabwe
New Zealand, Pakistan,Wellington,loss,first,New Zealand
Zimbabwe, Bangladesh,Khulna,win,first,Zimbabwe
India, Australia,Adelaide,loss,first,India
India, Australia,Melbourne,loss,first,India
Hong Kong, Scotland,Mong Kok,win,2nd,Hong Kong
Scotland, Hong Kong,Mong Kok,loss,first,Scotland
India, Australia,Sydney,loss,2nd,India
Netherlands, U.A.E.,ICCA Dubai,loss,first,Netherlands
U.A.E., Scotland,ICCA Dubai,win,first,U.A.E.
Scotland, Netherlands,ICCA Dubai,win,first,Scotland
Ireland, P.N.G.,Townsville,win,2nd,Ireland
Ireland, P.N.G.,Townsville,loss,first,Ireland
P.N.G., Ireland,Townsville,win,first,P.N.G.
Sri Lanka, India,Pune,win,2nd,Sri Lanka
India, Sri Lanka,Ranchi,loss,first,India
Ireland, U.A.E.,Abu Dhabi,loss,first,Ireland
India, Sri Lanka,Visakhapatnam,win,2nd,India
U.A.E., Ireland,Abu Dhabi,win,first,U.A.E.
U.A.E., Afghanistan,Fatullah,win,first,U.A.E.
Oman, Hong Kong,Fatullah,win,first,Oman
South Africa, England,Cape Town,win,2nd,South Africa
Afghanistan, Oman,Fatullah,loss,2nd,Afghanistan
U.A.E., Hong Kong,Fatullah,loss,2nd,U.A.E.
South Africa, England,Johannesburg,win,2nd,South Africa
Afghanistan, Hong Kong,Dhaka,loss,first,Afghanistan
U.A.E., Oman,Dhaka,loss,first,U.A.E.
India, Bangladesh,Dhaka,loss,first,India
Sri Lanka, U.A.E.,Dhaka,loss,first,Sri Lanka
Bangladesh, U.A.E.,Dhaka,loss,first,Bangladesh
India, Pakistan,Dhaka,win,2nd,India
Bangladesh, Sri Lanka,Dhaka,win,first,Bangladesh
Pakistan, U.A.E.,Dhaka,loss,2nd,Pakistan
India, Sri Lanka,Dhaka,win,2nd,India
Bangladesh, Pakistan,Dhaka,loss,2nd,Bangladesh
India, U.A.E.,Dhaka,loss,2nd,India
Pakistan, Sri Lanka,Dhaka,win,2nd,Pakistan
South Africa, Australia,Durban,loss,2nd,South Africa
Australia, South Africa,Johannesburg,win,2nd,Australia
India, Bangladesh,Dhaka,win,2nd,India
Zimbabwe, Hong Kong,Nagpur,loss,first,Zimbabwe
Afghanistan, Scotland,Nagpur,win,first,Afghanistan
Bangladesh, Netherlands,Dharamsala,loss,first,Bangladesh
Oman, Ireland,Dharamsala,loss,2nd,Oman
Australia, South Africa,Cape Town,loss,2nd,Australia
Zimbabwe, Scotland,Nagpur,win,first,Zimbabwe
Afghanistan, Hong Kong,Nagpur,loss,2nd,Afghanistan
Afghanistan, Zimbabwe,Nagpur,win,first,Afghanistan
Scotland, Hong Kong,Nagpur,loss,2nd,Scotland
Netherlands, Ireland,Dharamsala,loss,first,Netherlands
Bangladesh, Oman,Dharamsala,loss,first,Bangladesh
New Zealand, India,Nagpur,win,first,New Zealand
Pakistan, Bangladesh,Kolkata,win,first,Pakistan
West Indies, England,Mumbai,win,2nd,West Indies
Sri Lanka, Afghanistan,Kolkata,loss,2nd,Sri Lanka
New Zealand, Australia,Dharamsala,win,first,New Zealand
England, South Africa,Mumbai,win,2nd,England
India, Pakistan,Kolkata,win,2nd,India
South Africa, Afghanistan,Mumbai,win,first,South Africa
West Indies, Sri Lanka,Bengaluru,win,2nd,West Indies
Australia, Bangladesh,Bengaluru,win,2nd,Australia
New Zealand, Pakistan,Mohali,win,first,New Zealand
England, Afghanistan,Delhi,win,first,England
India, Bangladesh,Bengaluru,loss,first,India
Australia, Pakistan,Mohali,win,first,Australia
West Indies, South Africa,Nagpur,win,2nd,West Indies
New Zealand, Bangladesh,Kolkata,win,first,New Zealand
England, Sri Lanka,Delhi,loss,first,England
